"trial_type","trial_index","time_elapsed","rt","responses","name","stimulus","stimulus_block","stimulus_side","key_press","time_post_trial","is_fullscreen","trial_began","os","browser","mobile","screen_size","block","sub_block"
"pavlovia","0","7","","","","","","","","","","","","","","","",""
"instructions","1","1610","1603","","","","","","","","","","","","","","",""
"survey-text","2","4995","3382","{""Q0"":""A3JR8SUSETNFOU""}","","","","","","","","","","","","","",""
"instructions","3","8585","3590","","","","","","","","","","","","","","",""
"survey-likert","4","11300","2714","{""Q0"":8}","TIPS_0","","","","","","","","","","","","",""
"survey-likert","5","12854","1552","{""Q0"":8}","TIPS_1","","","","","","","","","","","","",""
"survey-likert","6","13905","1050","{""Q0"":8}","TIPS_2","","","","","","","","","","","","",""
"survey-likert","7","15047","1140","{""Q0"":8}","TIPS_3","","","","","","","","","","","","",""
"survey-likert","8","24764","9715","{""Q0"":8}","TIPS_4","","","","","","","","","","","","",""
"survey-likert","9","25803","1038","{""Q0"":8}","TIPS_5","","","","","","","","","","","","",""
"survey-likert","10","26764","959","{""Q0"":8}","TIPS_6","","","","","","","","","","","","",""
"survey-likert","11","27819","1052","{""Q0"":8}","TIPS_7","","","","","","","","","","","","",""
"survey-likert","12","28747","926","{""Q0"":8}","TIPS_8","","","","","","","","","","","","",""
"survey-likert","13","29547","798","{""Q0"":8}","TIPS_9","","","","","","","","","","","","",""
"survey-likert","14","31418","1871","{""Q0"":8}","TIPS_10","","","","","","","","","","","","",""
"survey-likert","15","32355","935","{""Q0"":8}","TIPS_11","","","","","","","","","","","","",""
"survey-likert","16","33340","984","{""Q0"":8}","TIPS_12","","","","","","","","","","","","",""
"survey-likert","17","34956","1615","{""Q0"":8}","TIPS_13","","","","","","","","","","","","",""
"survey-likert","18","36020","1062","{""Q0"":8}","TIPS_14","","","","","","","","","","","","",""
"survey-likert","19","37010","989","{""Q0"":8}","TIPS_15","","","","","","","","","","","","",""
"survey-likert","20","37973","959","{""Q0"":8}","TIPS_16","","","","","","","","","","","","",""
"survey-likert","21","38834","859","{""Q0"":8}","TIPS_17","","","","","","","","","","","","",""
"survey-likert","22","39894","1059","{""Q0"":8}","TIPS_18","","","","","","","","","","","","",""
"survey-likert","23","40818","923","{""Q0"":8}","TIPS_19","","","","","","","","","","","","",""
"survey-likert","24","43385","2565","{""Q0"":8}","TIPS_20","","","","","","","","","","","","",""
"survey-likert","25","45139","1753","{""Q0"":8}","TIPS_21","","","","","","","","","","","","",""
"survey-likert","26","46139","998","{""Q0"":8}","TIPS_22","","","","","","","","","","","","",""
"survey-likert","27","46874","734","{""Q0"":8}","TIPS_23","","","","","","","","","","","","",""
"survey-likert","28","49677","2801","{""Q0"":8}","TIPS_24","","","","","","","","","","","","",""
"instructions","29","57182","7505","","","","","","","","","","","","","","",""
"bRMS","30","59279","1926.8000001907349","","","images/rms/df42887_e_001.jpg","training_where","0","Q","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","31","59853","46.10000038146973","","","images/rms/f42887_e_001.jpg","training_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
"bRMS","32","60463","55","","","images/rms/df42887_e_001.jpg","training_where","1","P","400","false","0","Windows 10","Chrome 104 (104.0.5112.102)","false","","63","63"
